time,V(N001),V(N002),V(N003),I(V1),I(V2),I(R1),I(R2),I(R3)
0.000324,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000325,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000326,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000327,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000328,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000329,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00033,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000331,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000332,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000333,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000334,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000335,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000336,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000337,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000338,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000339,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00034,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000341,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000342,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000343,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000344,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000345,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000346,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000347,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000348,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000349,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00035,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000351,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000352,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000353,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000354,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000355,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000356,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000357,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000358,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000359,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00036,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000361,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000362,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000363,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000364,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000365,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000366,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000367,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000368,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000369,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00037,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000371,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000372,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000373,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000374,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000375,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000376,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000377,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000378,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000379,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00038,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000381,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000382,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000383,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000384,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000385,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000386,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000387,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000388,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000389,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00039,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000391,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000392,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000393,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000394,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000395,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000396,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000397,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000398,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000399,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.0004,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000401,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000402,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000403,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000404,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000405,2,-1,0,-0.0003,0,-0.0003,0,0.0001
